,Muestra_x,ID1_x,ID2,tipo_x,1_Vtasdivact totales_x,2_Vtasdivpatrimonio_x,3_Cap trabdivAct Totales_x,4_LnVentas__x,5_LnActivos totales__x,6_Gtos finandivRes Operac_x,7_EbitdadivPas_exig_x,8_GFdivEbitda_x,Muestra_y,ID1_y,tipo_y,1_Vtasdivact totales_y,2_Vtasdivpatrimonio_y,3_Cap trabdivAct Totales_y,4_LnVentas__y,5_LnActivos totales__y,6_Gtos finandivRes Operac_y,7_EbitdadivPas_exig_y,8_GFdivEbitda_y,9_VtasdivDeuda Total,10_VtasdivUt Neta,11_Ut NetadivAct totales,12_Cap trabdivAct Totales,13_Cap trabdivVtas-Ut Neta_,14_Raz Corriente,15_Pas Circ+Pas LP_divAct Totales_,16_Act TotalesdivPas_Exig,17_PatrimdivPas Exigible
10,2.0,13.0,160,1.0,1.011431888,1.974804432,0.414953413,15.42780419,15.41643715,3.487651021,-0.462473025,-0.066871706,,,,,,,,,,,,,,,,,,,,
11,2.0,45.0,133,0.0,1.179026871,1.314806628,0.591285786,14.23206858,14.06737917,5.836908158,-8.231781948,0.0,,,,,,,,,,,,,,,,,,,,
12,1.0,6.0,16,0.0,1.176964213,4.272073976,-0.123905741,14.19925139,14.03631297,4.330593031,-0.355654922,-0.111624592,,,,,,,,,,,,,,,,,,,,
13,2.0,24.0,191,1.0,2.173365985,7.280898387,0.174752346,16.62151598,15.84523887,0.516467419,0.029659097,0.935140869,,,,,,,,,,,,,,,,,,,,
14,2.0,14.0,163,1.0,1.202342334,3.536515052,0.172905996,15.90282999,15.71855839,4.427036393,-0.345182814,-0.124120842,,,,,,,,,,,,,,,,,,,,
15,1.0,3.0,8,0.0,1.852775565,5.147701503,0.377704992,14.852798,14.23611318,4.365314959,-0.573510403,-0.072725321,,,,,,,,,,,,,,,,,,,,
16,2.0,23.0,189,1.0,3.004860677,5.679472325,0.485193684,14.54947669,13.44924549,3.364815037,-1.154041935,-0.021690725,,,,,,,,,,,,,,,,,,,,
17,2.0,36.0,106,0.0,0.175193872,0.42127837,0.201273478,12.83941674,14.58127882,0.756361929,0.000697301,0.767123288,2.0,36.0,0.0,0.175193872,0.42127837,0.201273478,12.83941674,14.58127882,0.756361929,0.000697301,0.767123288,1.629156884,3.300860302,0.053075216,0.201273478,1.648179596,3.253734374,0.58413751,1.711925672,0.711925672
18,2.0,38.0,112,0.0,1.042008488,1.732301603,0.342913425,15.57312241,15.53197232,9.872314732,-0.386713122,-0.075286084,,,,,,,,,,,,,,,,,,,,
19,1.0,11.0,32,0.0,1.4493941,3.280713402,0.05704182,14.47919443,14.10804882,11.21720725,-0.535046129,-0.071171354,,,,,,,,,,,,,,,,,,,,
20,2.0,18.0,176,1.0,2.876233215,9.063023038,0.481612104,13.50956268,12.45308115,0.999083538,-0.320513554,-1.018921814,,,,,,,,,,,,,,,,,,,,
21,1.0,12.0,36,0.0,1.101283412,1.704351526,0.3434805,13.40744307,13.31096683,1.121092612,-0.022060269,-0.524718863,1.0,12.0,0.0,1.101283412,1.704351526,0.3434805,13.40744307,13.31096683,1.121092612,-0.022060269,-0.524718863,3.112374908,14.67262456,0.075057016,0.3434805,0.334702461,2.877009268,0.353840217,2.826134374,1.826134374
22,2.0,1.0,205,1.0,1.580665516,6.318825405,-0.293056134,13.18265288,12.72480691,1.18474266,-0.268709265,-0.382587116,2.0,1.0,1.0,1.580665516,6.318825405,-0.293056134,13.18265288,12.72480691,1.18474266,-0.268709265,-0.382587116,2.459851039,5.454668707,0.28978213,-0.293056134,-0.227019836,0.489474339,0.749848205,1.333603245,0.333603245
23,2.0,41.0,120,0.0,2.243494083,3.842328599,0.466761585,14.3161622,13.50812769,8.099009999,-2.46470694,-0.010567657,,,,,,,,,,,,,,,,,,,,
